新车价,表显里程,排量,轴距,最大马力,最大扭矩,前/后排侧气囊,前/后排头部气囊,胎压检测,感应雨刷,前/后排座椅加热,33项 外部配置,缺陷项检测,漆面修复检测,使用时间,中大型SUV,自动,自然吸气,涡轮增压,92号,95号,多点电喷,直喷,混合喷射,前置前驱,电动助力,通风盘式,手刹,电子驻车,长,宽,高
0.086302325,0.21068548,0.21951220000000002,0.787172,0.09508197,0.12171838,0.5,1.0,1e-08,1e-08,1e-08,0.5,0.27586207,0.055555556,0.30833334,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.715342,0.46652266,0.2
0.7245654,0.61844754,0.5121951,0.93586004,0.61639345,0.5226729999999999,0.5,1.0,1.0,1.0,1.0,0.16666667,0.17241379999999998,0.055555556,0.78333336,1e-08,1.0,1.0,1e-08,1e-08,1.0,1.0,1e-08,1e-08,1e-08,1e-08,1.0,1e-08,1.0,0.9304991,0.7408206999999999,0.19243243
0.19037965,0.47177416,0.3658537,0.84548104,0.38032788,0.3627685,0.5,1.0,1e-08,1e-08,0.5,0.41666666,3.4500000000000005e-10,0.16666667,0.38333333,1e-08,1.0,1.0,1e-08,1.0,1e-08,1e-08,1.0,1e-08,1.0,1.0,1e-08,1e-08,1e-08,0.7948244000000001,0.5313175,0.42702702
0.07320496,0.30393144,0.17073172,0.7609329,0.114754096,0.15274464,1e-08,1e-08,1.0,1e-08,1e-08,0.16666667,3.4500000000000005e-10,0.27777779999999996,0.5416667,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1e-08,1e-08,1.0,1e-08,0.6757856,0.46652266,0.18054055
0.11421221,0.20362903,0.2682927,0.7696793000000001,0.3114754,0.25775656,0.5,1e-08,1e-08,1e-08,1e-08,0.083333336,3.4500000000000005e-10,0.11111111,0.48333332,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.63770795,0.5637149,0.42162162
0.09136976,0.08064516,0.14634147,0.77201164,0.36393443,0.35560858,0.5,1.0,1e-08,1e-08,1e-08,8.33e-10,3.4500000000000005e-10,5.559999999999999e-10,0.225,1e-08,1.0,1e-08,1.0,1.0,1e-08,1e-08,1.0,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.6798521,0.57019436,0.19783784
0.09136976,0.22026210000000002,0.21951220000000002,0.8075802,0.23934427,0.20286396,1e-08,1e-08,1e-08,1e-08,1e-08,0.16666667,3.4500000000000005e-10,5.559999999999999e-10,0.425,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1e-08,1e-08,1e-08,1e-08,0.7449168,0.5637149,0.18378378
0.11421221,0.24747983,0.2682927,0.7696793000000001,0.3114754,0.25775656,0.5,1e-08,1e-08,1e-08,1e-08,8.33e-10,0.10344828,5.559999999999999e-10,0.425,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.63770795,0.5637149,0.42162162
0.18359709,0.66179436,0.39024392,0.76676387,0.3737705,0.32458234,0.5,1.0,1e-08,1e-08,0.5,0.33333334,0.13793103,0.44444445,0.6333333000000001,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1e-08,1.0,1.0,1.0,1e-08,0.7171904,0.49892008,0.5243243000000001
0.120137215,0.21471773,0.2682927,0.7696793000000001,0.3114754,0.25775656,1e-08,1e-08,1e-08,1e-08,1e-08,0.33333334,0.27586207,5.559999999999999e-10,0.55,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1e-08,1e-08,1.0,1e-08,0.63770795,0.5637149,0.38918918
0.07616746,0.24395159,0.17073172,0.76209915,0.13114753,0.15274464,1e-08,1e-08,1.0,1e-08,1e-08,0.16666667,0.03448276,5.559999999999999e-10,0.39166668,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.6902033000000001,0.5053996000000001,0.18162163
0.17603493,0.27066532,0.3658537,0.84548104,0.38032788,0.3627685,0.5,1e-08,1e-08,1e-08,0.5,0.25,0.10344828,5.559999999999999e-10,0.25,1e-08,1.0,1.0,1e-08,1.0,1e-08,1e-08,1.0,1e-08,1.0,1.0,1e-08,1e-08,1e-08,0.7948244000000001,0.5313175,0.42702702
0.15903953,0.58114916,0.3658537,0.81632656,0.35737705,0.31980908,0.5,1e-08,1e-08,1e-08,0.5,8.33e-10,3.4500000000000005e-10,0.11111111,0.89166665,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1e-08,1e-08,1.0,1e-08,0.83733827,0.6177106,0.19459459
0.086302325,0.46018144,0.17073172,0.7728863,0.114754096,0.15274464,0.5,1e-08,1e-08,1e-08,1e-08,8.33e-10,3.4500000000000005e-10,0.055555556,0.7416666999999999,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.7205176,0.47300217,0.19675675
0.1980198,0.29788306,0.3658537,0.84548104,0.38032788,0.3627685,0.5,1.0,1e-08,1e-08,0.5,0.41666666,0.03448276,5.559999999999999e-10,0.4,1e-08,1.0,1.0,1e-08,1.0,1e-08,1e-08,1.0,1e-08,1.0,1.0,1e-08,1e-08,1e-08,0.82994455,0.6177106,0.44324324
0.17517737,0.44304433,0.2682927,0.81341106,0.49180329999999994,0.61813843,0.5,1.0,1e-08,1e-08,1e-08,0.9166667,0.13793103,0.5,0.38333333,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1.0,1e-08,1e-08,1e-08,0.7985213000000001,0.79049677,0.45405406
0.090512194,0.45816532,0.12195122,0.7516035,0.2,0.3078759,0.5,1e-08,1e-08,1e-08,1e-08,0.33333334,0.31034482,5.559999999999999e-10,0.84166664,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.683549,0.43412527,0.17405406
0.15061978,0.4909274,0.3658537,0.81632656,0.35737705,0.31980908,0.5,1e-08,1e-08,1e-08,0.5,8.33e-10,3.4500000000000005e-10,0.11111111,0.9,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1e-08,1e-08,1.0,1e-08,0.83733827,0.6177106,0.19459459
0.14890464,0.563004,0.2682927,0.7638484,0.26229507,0.23627685,0.5,1e-08,1e-08,1e-08,1e-08,8.33e-10,3.4500000000000005e-10,0.055555556,0.925,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1e-08,1.0,1e-08,1.0,1e-08,0.69500923,0.5637149,0.41081080000000003
0.07530989,0.40322579999999997,0.17073172,0.7609329,0.114754096,0.15274464,0.5,1e-08,1e-08,1e-08,1e-08,8.33e-10,0.06896552,5.559999999999999e-10,0.8333333,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1e-08,1e-08,1.0,1e-08,0.68207026,0.46652266,0.18054055
0.11678491,0.68145156,0.14634147,0.83090377,0.36393443,0.35560858,0.5,1.0,1.0,1e-08,1e-08,0.41666666,0.03448276,0.16666667,0.6333333000000001,1e-08,1.0,1e-08,1.0,1.0,1e-08,1e-08,1.0,1e-08,1.0,1.0,1e-08,1e-08,1.0,0.8003697,0.63714904,0.19459459
0.065954626,0.20010081,0.17073172,0.76209915,0.13114753,0.15274464,1e-08,1e-08,1.0,1e-08,1e-08,8.33e-10,0.03448276,5.559999999999999e-10,0.30833334,1e-08,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.6902033000000001,0.5053996000000001,0.18162163
0.05628752,0.25856853,0.17073172,0.7588921,0.13114753,0.16467779999999999,1e-08,1e-08,1e-08,1e-08,1e-08,8.33e-10,0.31034482,0.22222222,0.475,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.6624769,0.3174946,0.18378378
0.096515164,0.44606853,0.14634147,0.7760933000000001,0.15737705,0.13126491,0.5,1e-08,1.0,1e-08,0.5,0.083333336,0.10344828,5.559999999999999e-10,0.375,1e-08,1.0,1.0,1e-08,1.0,1e-08,1e-08,1.0,1e-08,1.0,1.0,1e-08,1e-08,1.0,0.61922365,0.5399568,0.17405406
0.3594761,0.390625,0.2682927,0.90612245,0.4852459,0.5226729999999999,0.5,1.0,1.0,1.0,0.5,8.33e-10,3.4500000000000005e-10,0.055555556,0.44166666,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1.0,0.8724584000000001,0.650108,0.2064865
0.23458329,0.45614920000000003,0.2682927,0.80991256,0.21639344,0.22434367,0.5,1e-08,1.0,1e-08,1e-08,0.33333334,0.24137929999999996,0.27777779999999996,0.9583333,1e-08,1.0,1.0,1e-08,1e-08,1.0,1.0,1e-08,1e-08,1.0,1e-08,1e-08,1.0,1e-08,0.5833640999999999,0.47084233,0.31675676
0.11686287,0.41733869999999995,0.17073172,0.77842563,0.35081968,0.41527447,0.5,1e-08,1e-08,1e-08,1e-08,0.25,0.03448276,5.559999999999999e-10,0.39166668,1e-08,1.0,1e-08,1.0,1.0,1e-08,1e-08,1.0,1e-08,1.0,1.0,1e-08,1e-08,1e-08,0.65804064,0.6285097,0.38918918
0.11686287,0.40624997,0.2682927,0.7979592,0.25245902,0.23627685,0.5,1e-08,1e-08,1e-08,1e-08,0.33333334,0.06896552,0.055555556,0.75,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1e-08,1.0,0.8036969,0.63714904,0.18594594
0.11592734,0.48891127,0.2682927,0.7696793000000001,0.3114754,0.25775656,1e-08,1e-08,1e-08,1e-08,1e-08,0.083333336,0.03448276,5.559999999999999e-10,0.60833335,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.64510167,0.63930887,0.36216217
0.061744757000000004,0.098790325,0.17073172,0.787172,0.17704917,0.14797136,1e-08,1e-08,1e-08,1e-08,1e-08,8.33e-10,0.20689656,5.559999999999999e-10,0.125,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.72828096,0.30453563,0.22162162
0.38738596,0.30544356,0.2682927,0.90612245,0.4852459,0.5226729999999999,0.5,1.0,1.0,1.0,0.5,0.16666667,3.4500000000000005e-10,0.055555556,0.425,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1.0,0.8724584000000001,0.650108,0.2064865
0.047789816,0.30342743,0.17073172,0.7588921,0.13114753,0.16467779999999999,1e-08,1e-08,1e-08,1e-08,1e-08,8.33e-10,3.4500000000000005e-10,5.559999999999999e-10,0.68333334,1e-08,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.6624769,0.3174946,0.18378378
0.04069541,0.40574598,0.17073172,0.7588921,0.13114753,0.15274464,1e-08,1e-08,1e-08,1e-08,1e-08,0.16666667,0.13793103,0.055555556,0.60833335,1e-08,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.6573013000000001,0.3174946,0.1827027
0.09136976,0.16431451,0.14634147,0.77201164,0.36393443,0.35560858,0.5,1.0,1e-08,1e-08,1e-08,0.16666667,0.17241379999999998,5.559999999999999e-10,0.40833333,1e-08,1.0,1e-08,1.0,1.0,1e-08,1e-08,1.0,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.61848426,0.57019436,0.19783784
0.049115147000000005,0.16431451,0.17073172,0.7588921,0.13114753,0.15274464,1e-08,1e-08,1e-08,1e-08,1e-08,8.33e-10,3.4500000000000005e-10,5.559999999999999e-10,0.375,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.6573013000000001,0.3174946,0.1827027
0.09986747,0.31653225,0.21951220000000002,0.8104956,0.22950819,0.19570406,0.5,1e-08,1e-08,1e-08,1e-08,0.16666667,3.4500000000000005e-10,5.559999999999999e-10,0.53333336,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.6487985,0.49892008,0.36756757
0.08287206,0.29788306,0.21951220000000002,0.77842563,0.3737705,0.46300715,0.5,1.0,1.0,1.0,0.5,0.16666667,0.03448276,5.559999999999999e-10,0.25833333,1e-08,1.0,1e-08,1.0,1.0,1e-08,1e-08,1.0,1e-08,1.0,1.0,1e-08,1e-08,1.0,0.6743068,0.5874729999999999,0.42594594
0.13112964,0.8724798,0.2682927,0.7696793000000001,0.3114754,0.25775656,0.5,1e-08,1e-08,1e-08,1e-08,0.16666667,3.4500000000000005e-10,0.11111111,0.60833335,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1e-08,1e-08,1.0,1e-08,0.63770795,0.5637149,0.42162162
0.04069541,0.08770161,0.17073172,0.7588921,0.13114753,0.15274464,1e-08,1e-08,1e-08,1e-08,1e-08,0.5,0.17241379999999998,5.559999999999999e-10,0.28333333,1e-08,1e-08,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.65804064,0.3174946,0.1827027
0.09737273,0.2721774,0.21951220000000002,0.787172,0.23934427,0.20525059,0.5,1e-08,1e-08,1.0,0.5,0.083333336,3.4500000000000005e-10,0.22222222,0.7416666999999999,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1e-08,1e-08,1.0,1e-08,0.78558224,0.53563714,0.16216215
0.09986747,0.3674395,0.2682927,0.8017493,0.26885247,0.24582338,1e-08,1e-08,1e-08,1e-08,1e-08,8.33e-10,3.4500000000000005e-10,0.11111111,0.6333333000000001,1e-08,1.0,1.0,1e-08,1.0,1e-08,1.0,1e-08,1e-08,1.0,1.0,1e-08,1.0,1e-08,0.67652494,0.5313175,0.32972974
